CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
1,25,33,1.5,229.8708813938489,12.770604521880493,95.66931079402049,5,0,0,11,0,6,12,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10,30,42,5.785714285714286,1192.37441473287,66.243023040715,75.51674979029562,19,1,5,6,5,4,11,3,16,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2,8,9,1.0,27.0,1.5,86.67687889975747,23,0,2,3,1,5,5,1,22,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
3,6,6,1.0,15.509775004326936,0.861654166907052,72.82491762469213,6,1,0,6,0,1,2,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,13,16,2.0,118.41407098051495,6.578559498917497,81.49740089834185,26,2,1,3,1,3,4,3,20,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,3,1,0,0,0,0,4,0,0,0,0,3,0,2,0,0,1
2,18,30,5.0,625.4887502163468,34.74937501201927,64.23021380147172,8,1,0,4,0,6,11,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
4,17,37,3.6923076923076925,558.410308158508,31.022794897694887,88.4118524352754,12,3,0,6,0,11,11,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9,18,25,3.076923076923077,320.7634616494086,17.820192313856033,86.4734574226635,16,5,0,5,0,4,1,2,15,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0
5,6,6,1.0,15.509775004326936,0.861654166907052,92.52259723921607,17,3,0,9,12,0,1,2,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,11,12,1.5,62.26976913547136,3.4594316186372978,62.20721040059578,15,2,0,10,1,2,3,3,28,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,1,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,9,12,2.0,76.0782000346155,4.226566668589751,91.65401596086652,14,2,2,6,6,12,2,3,13,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
4,21,37,3.75,609.434042410553,33.85744680058628,71.3715201211912,24,3,2,4,0,13,4,2,17,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,2,0,3,0,0,1
5,8,8,1.5,36.0,2.0,93.10727916483853,11,1,0,4,0,3,0,2,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0
6,26,45,4.5,951.8390429235714,52.879946829087295,84.89898436351987,15,2,1,7,0,8,10,3,15,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
5,23,41,3.75,695.4976507437658,38.638758374653655,87.64624750106427,13,1,3,7,0,15,11,2,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,25,51,5.368421052631579,1271.438942063585,70.63549678131028,69.14051813554936,46,3,5,10,6,18,9,4,22,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,7,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1,11,12,2.2857142857142856,94.88726725405158,5.27151484744731,94.99334770236112,7,0,0,4,0,6,5,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,14,27,3.6,370.07489842399906,20.559716579111058,90.49756016771563,11,1,3,5,0,7,7,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
3,13,27,4.0,399.64748955923795,22.202638308846552,87.87115631107663,11,2,0,4,1,10,9,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
3,9,11,1.0,34.86917501586544,1.937176389770302,84.70804194600596,21,0,0,3,0,0,0,2,11,0,3,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,0,0,0,0,7,0,0,0,0,1
4,4,6,2.0,24.0,1.3333333333333333,88.13702169693273,13,2,2,3,0,3,0,2,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1
3,19,23,2.6785714285714284,261.7026771675066,14.539037620417032,56.610014562020055,17,1,0,4,0,6,3,3,16,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1
16,35,68,6.37037037037037,2221.9294135625305,123.44052297569614,74.94495392867887,35,7,6,11,2,60,3,4,17,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,7,0,0,3,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4,30,38,4.181818181818182,779.7495237385174,43.31941798547319,80.82108203191699,25,0,1,3,0,9,3,2,16,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1
10,26,33,2.619047619047619,406.25228992505157,22.569571662502867,74.91049793345529,13,6,3,9,0,17,7,3,17,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,2,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5,11,11,2.0,76.10749561002055,4.228194200556697,92.4638721387223,11,2,0,4,0,18,2,3,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,1
3,14,18,1.6363636363636365,112.14390861333307,6.23021714518517,65.79120950668202,7,1,0,6,0,4,7,2,16,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,27,63,2.625,786.3395206702837,43.68552892612687,85.1963426477349,8,3,0,9,0,19,22,3,18,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,34,49,4.923076923076923,1227.2525746277745,68.18069859043192,67.82821217469733,26,2,1,10,0,17,15,2,23,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,1
