CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
6,21,32,5.25,737.9093270268318,40.99496261260177,70.51139780817168,24,2,1,7,1,12,7,3,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0,2,0,0,0
3,14,21,3.888888888888889,310.93398530137097,17.27411029452061,92.35511533396868,11,1,0,4,0,9,6,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
7,22,36,3.5294117647058822,566.6101350739154,31.478340837439745,78.990539278793,23,3,2,12,12,11,12,2,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1
6,9,14,2.25,99.85263754543286,5.547368752524047,90.31600819730006,16,1,0,8,10,16,1,2,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1
4,12,27,4.5,435.5729438376205,24.198496879867808,85.78892479091678,13,1,1,5,0,11,6,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
7,14,23,4.166666666666667,364.87151336385375,20.27063963132521,84.9833600827566,17,2,3,4,0,14,4,2,8,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
4,18,21,3.5,306.4894876060099,17.02719375588944,83.64914187017557,22,1,1,6,0,9,4,4,15,1,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,1
2,9,12,3.2,121.72512005538482,6.762506669743601,86.47820863771571,9,1,0,3,1,4,4,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1
2,3,3,0.5,2.3774437510817346,0.1320802083934297,88.9439279777443,35,1,0,7,0,7,2,2,25,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
6,23,55,5.823529411764706,1448.8702853370844,80.49279362983802,77.19310005970118,17,3,0,8,1,28,4,2,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,3,0,0,0,2,1,0,0,0,2,0,0,0,0,1
6,15,18,3.0,210.97209216286,11.720671786825555,72.9608212440322,17,2,0,7,1,6,2,2,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1
8,28,49,7.578947368421052,1785.299806844129,99.18332260245161,81.20553066985916,16,4,1,8,0,22,13,2,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,4,0,0,0,1,1,0,0,0,3,0,0,0,0,1
4,0,0,0.0,0.0,0.0,100.0,9,3,0,8,3,0,0,1,19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4,14,19,4.5,325.5288458359251,18.084935879773617,87.5993933463606,14,1,1,4,0,18,2,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1
2,8,15,5.0,225.0,12.5,94.59598454656943,10,1,0,3,0,6,5,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
5,11,15,2.857142857142857,148.26135508445563,8.236741949136423,92.22493142719676,12,2,0,4,1,8,3,3,10,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1
2,7,9,0.5,12.63309714925922,0.701838730514401,75.512678549939,35,3,0,6,6,0,3,3,19,3,0,2,0,0,0,0,0,0,2,0,5,0,0,0,0,0,3,0,0,3,0,6,0,0,0,3,0,0,0,0,4,0,0,0,0,1
2,10,12,1.7142857142857142,68.33680652339717,3.796489251299843,74.30347346460393,36,3,1,7,8,1,2,6,22,3,0,2,0,0,0,0,0,0,2,0,5,0,0,0,0,0,3,0,0,4,0,5,0,0,0,2,0,0,0,0,5,0,0,0,0,1
2,7,8,1.875,42.11032383086406,2.3394624350480036,89.65130608665444,15,1,1,5,0,15,1,2,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1
2,24,42,6.75,1299.836868954448,72.21315938635821,71.54718689172904,0,1,2,0,2,11,10,4,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1
1,10,15,3.3333333333333335,166.09640474436813,9.227578041353786,78.71284346271321,18,1,2,7,0,6,2,3,15,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
7,17,20,2.5,204.373142062517,11.35406344791761,84.80405972841804,20,3,2,11,1,25,0,2,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,2,0,0,0,1,1,0,0,0,1,0,1,0,0,1
3,30,42,2.8,577.0503340435617,32.05835189130899,84.72779790931696,18,0,0,18,0,11,11,1,22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,45,85,9.058823529411764,4228.72688417385,234.92927134299165,59.12880445832915,69,7,8,13,14,16,24,4,27,0,0,0,4,0,0,0,0,0,0,0,6,0,6,0,0,0,2,0,0,6,0,5,0,0,0,0,0,0,0,0,7,0,5,0,0,1
2,2,2,0.5,1.0,0.05555555555555555,96.46635946370311,22,1,0,3,0,3,4,2,19,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1
